order_id,customer_id,customer_name,order_date,status,order_category,product,quantity,unit_price,total_amount
ORD10001,C101,Ravi,2026-08-01,COMPLETED,SALE,Laptop,2,50000.0,100000.0
ORD10001,C101,Ravi,2026-08-01,COMPLETED,SALE,Mouse,3,1500.0,4500.0
ORD10002,C102,Priya,2026-08-02,COMPLETED,SALE,Monitor,1,25000.0,25000.0
ORD10003,C103,Arun,2026-08-03,PENDING,PENDING_ORDER,Keyboard,2,3000.0,6000.0
ORD10004,C101,Ravi,2026-08-04,COMPLETED,SALE,Headphones,4,4000.0,16000.0
ORD10004,C101,Ravi,2026-08-04,COMPLETED,SALE,Webcam,1,3500.0,3500.0
ORD10005,C104,Meena,2026-08-05,CANCELLED,CANCELLED_ORDER,Tablet,1,30000.0,30000.0
ORD10006,C105,Kiran,2026-08-06,COMPLETED,SALE,Laptop,1,50000.0,50000.0
ORD10007,C106,Anita,2026-08-07,COMPLETED,SALE,Printer,2,12000.0,24000.0
ORD10008,C107,Vijay,2026-08-08,PENDING,PENDING_ORDER,Mouse,10,1500.0,15000.0
ORD10009,C108,Neha,2026-08-09,COMPLETED,SALE,Monitor,2,25000.0,50000.0
ORD10009,C108,Neha,2026-08-09,COMPLETED,SALE,Keyboard,2,3000.0,6000.0
ORD10010,C109,Rahul,2026-08-10,COMPLETED,SALE,Laptop,3,50000.0,150000.0
ORD10011,C110,Sneha,2026-08-11,COMPLETED,SALE,Tablet,2,30000.0,60000.0
ORD10012,C101,Ravi,2026-08-12,COMPLETED,SALE,Mouse,5,1500.0,7500.0
ORD10012,C101,Ravi,2026-08-12,COMPLETED,SALE,Keyboard,1,3000.0,3000.0
ORD10013,C102,Priya,2026-08-13,COMPLETED,SALE,Printer,1,12000.0,12000.0
ORD10014,C103,Arun,2026-08-14,CANCELLED,CANCELLED_ORDER,Laptop,1,50000.0,50000.0
ORD10015,C104,Meena,2026-08-15,COMPLETED,SALE,Headphones,2,4000.0,8000.0
ORD10016,C105,Kiran,2026-08-16,COMPLETED,SALE,Webcam,2,3500.0,7000.0
ORD10017,C106,Anita,2026-08-17,PENDING,PENDING_ORDER,Monitor,1,25000.0,25000.0
ORD10018,C107,Vijay,2026-08-18,COMPLETED,SALE,Keyboard,3,3000.0,9000.0
ORD10019,C108,Neha,2026-08-19,COMPLETED,SALE,Laptop,1,50000.0,50000.0
ORD10019,C108,Neha,2026-08-19,COMPLETED,SALE,Mouse,2,1500.0,3000.0
ORD10020,C109,Rahul,2026-08-20,COMPLETED,SALE,Tablet,1,30000.0,30000.0
ORD10020,C109,Rahul,2026-08-20,COMPLETED,SALE,Headphones,1,4000.0,4000.0
